Lookup ID,Isotope,,A1 (TBq),,A2 (TBq),,activity concentration limit for exempt matertial (Bq/g),,activity limit for an exempt consignment (Bq),,,,,,,,,,,,,,,,,
Ac225,Ac-225,(a),8.00E-01,,6.00E-03,,1.00E+01,,1.00E+04,,,,,,,,,,,,,,,,,
Ac227,Ac-227,(a),9.00E-01,,9.00E-05,,1.00E-01,,1.00E+03,,,,,,,,,,,,,,,,,
Ac228,Ac-228,,6.00E-01,,5.00E-01,,1.00E+01,,1.00E+06,,,,,,,,,,,,,,,,,
Ag105,Ag-105,,2.00E+00,,2.00E+00,,1.00E+02,,1.00E+06,,,,,,,,,,,,,,,,,
Ag108m,Ag-108m,(a),7.00E-01,,7.00E-01,,1.00E+01,(b),1.00E+06,(b),,,,,,,,,,,,,,,,
Ag110m,Ag-110m,(a),4.00E-01,,4.00E-01,,1.00E+01,,1.00E+06,,,,,,,,,,,,,,,,,
Ag111,Ag-111,,2.00E+00,,6.00E-01,,1.00E+03,,1.00E+06,,,,,,,,,,,,,,,,,
Al26,Al-26,,1.00E-01,,1.00E-01,,1.00E+01,,1.00E+05,,,,,,,,,,,,,,,,,
Am241,Am-241,,1.00E+01,,1.00E-03,,1.00E+00,,1.00E+04,,,,,,,,,,,,,,,,,
Am242m,Am-242m,(a),1.00E+01,,1.00E-03,,1.00E+00,(b),1.00E+04,(b),,,,,,,,,,,,,,,,
Am243,Am-243,(a),5.00E+00,,1.00E-03,,1.00E+00,(b),1.00E+03,(b),,,,,,,,,,,,,,,,
Ar37,Ar-37,,4.00E+01,,4.00E+01,,1.00E+06,,1.00E+08,,,,,,,,,,,,,,,,,
Ar39,Ar-39,,4.00E+01,,2.00E+01,,1.00E+07,,1.00E+04,,,,,,,,,,,,,,,,,
Ar41,Ar-41,,3.00E-01,,3.00E-01,,1.00E+02,,1.00E+09,,,,,,,,,,,,,,,,,
As72,As-72,,3.00E-01,,3.00E-01,,1.00E+01,,1.00E+05,,,,,,,,,,,,,,,,,
